Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.43,-1.5%,19094204424,2.46,2.40,2.19,2.59
Pyerite,4.75,-4.8%,4774723546,4.88,4.70,4.18,5.22
Mexallon,24.02,+4.6%,1658231598,24.56,22.74,22.53,26.99
Isogen,49.04,+3.1%,253313358,50.06,46.36,44.60,51.16
Nocxium,118.55,+5.2%,39265955,118.30,119.92,121.26,119.17
Zydrine,1129.74,+10.6%,10152474,1096.28,1151.21,1297.23,1048.85
Megacyte,2373.18,+2.4%,11683971,2369.92,2387.86,2484.71,2406.62
Morphite,4618.09,-0.7%,856179,4650.33,4541.08,5677.32,4514.03
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,120984.82,+0.3%,96599,122351.86,119003.08,116670.10,130002.30
Armor Plates,232059.05,+0.9%,84234,232415.18,230474.30,221826.64,230419.92
Broken Drone Transceiver,90.21,-27.9%,61147,57.98,220.00,100.01,284.58
Burned Logic Circuit,31316.04,-0.1%,370376,31956.26,29420.35,29300.92,32916.27
Charred Micro Circuit,178.46,-22.1%,469254,172.57,220.89,100.00,349.49
Conductive Polymer,263.02,-26.6%,137338,267.66,220.00,100.00,350.54
Contaminated Lorentz Fluid,244.61,-28.4%,54854,259.42,199.75,100.00,387.53
Contaminated Nanite Compound,3311.24,-2.9%,123534,3443.15,2630.03,2000.00,3267.80
Damaged Artificial Neural Network,309.57,-35.4%,38240,306.29,270.06,400.00,407.63
Defective Current Pump,107.02,-6.6%,19985,89.77,211.52,100.00,478.67
Fried Interface Circuit,4911.02,+0.9%,433133,5000.79,4755.30,4000.00,4858.67
Malfunctioning Shield Emitter,285.86,+6.3%,90536,305.26,194.94,100.00,438.20
Melted Capacitor Console,89696.70,+2.8%,26069,90110.74,88201.90,88587.21,85060.18
Scorched Telemetry Processor,131.04,-21.0%,40416,112.86,220.00,100.00,284.45
Smashed Trigger Unit,132.61,+5.6%,243926,123.32,210.62,100.00,315.89
Tangled Power Conduit,307.10,-2.3%,34511,305.88,298.17,120.05,318.76
Thruster Console,110.71,-8.7%,126972,100.92,189.87,100.00,407.35
Tripped Power Circuit,48989.88,+0.7%,365676,50050.06,44835.50,45943.41,52699.86
Ward Console,27795.60,-0.7%,53381,28045.56,23899.54,18893.78,25465.14
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,6119.91,-1.9%,439,6119.91,426.29,2041.07,6729.20
Capacitor Console,19714528.98,-4.9%,145,19714528.98,15335300.20,9071433.65,20145547.93
Conductive Thermoplastic,12032.16,-0.2%,343,12032.16,16030.90,3001.08,13456.05
Current Pump,11101.46,-9.9%,50,11101.46,19855.39,3858.27,45031.12
Drone Transceiver,5099.45,-27.3%,140,5008.47,3800.69,2149.22,5512.04
Enhanced Ward Console,17672600.05,-3.3%,126,17700995.85,17834548.61,8878462.50,17101256.18
Impetus Console,9258.03,+18.8%,126,9560.15,21750.17,5008.95,23224.28
Intact Armor Plates,22237151.43,-1.1%,128,22057464.26,23240905.14,18850502.49,23432875.65
Intact Shield Emitter,783574.49,+2.1%,61,796577.01,400000.00,106976.67,608058.58
Interface Circuit,76478.73,-21.4%,531,75325.57,71929.97,178175.60,70726.15
Logic Circuit,170166.77,+18.3%,840,167759.05,132278.89,98382.68,170548.94
Lorentz Fluid,2712.26,+11.5%,144,3163.00,100.66,1503.07,6679.95
Micro Circuit,15206.84,-23.1%,539,15218.98,17170.54,40548.86,9813.17
Nanite Compound,35964.72,-2.7%,69,36471.55,104498.35,5369.37,62139.15
Power Circuit,1656161.61,+6.5%,791,1658414.15,1633036.59,3326559.90,1572753.53
Power Conduit,103909.20,-98.7%,161,116237.10,29532.56,2007.12,16582.48
Single-crystal Superalloy I-beam,4915498.70,+21.2%,141,4957323.03,5637100.91,6660975.61,6013922.06
Telemetry Processor,172648.20,-85.5%,63,175392.53,2444.38,22003.70,44803.14
Trigger Unit,42692.46,+35.7%,218,43069.67,36344.40,3233.34,22257.31
,,,,,,,
Ice Products,,,,,,,
Helium Isotopes,305.81,-0.3%,11531099,303.84,350.44,352.06,317.63
Hydrogen Isotopes,314.82,+2.0%,103487659,316.15,313.37,325.92,336.80
Nitrogen Isotopes,336.47,+6.8%,14062117,335.86,377.74,430.11,293.84
Oxygen Isotopes,340.33,+25.0%,23837475,337.43,348.83,398.83,316.11
Heavy Water,24.70,-30.6%,23021044,25.05,20.47,55.22,21.79
Liquid Ozone,264.58,+50.8%,16642017,258.20,274.97,402.20,225.54
Strontium Clathrates,518.13,-28.7%,1754268,452.64,655.16,791.41,386.20
,,,,,,,
Starbase Fuel,,,,,,,
Coolant,2889.73,+2.0%,1279904,2785.98,2039.88,1402.32,2339.80
Enriched Uranium,14392.96,+3.3%,1147880,14561.59,13666.35,4828.87,14567.42
Mechanical Parts,3050.75,-10.3%,841488,2823.55,3752.63,860.26,2130.45
Oxygen,329.54,-45.4%,3587993,258.49,419.46,129.80,180.89
Robotics,11859.25,-15.7%,303644,10500.56,15525.93,8102.11,10605.00
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,188056.90,-25.6%,517,183600.45,167839.59,203073.44,150261.81
Datacore - Caldari Starship Engineering,186322.74,-14.1%,1129,160060.24,197446.92,347553.88,128079.35
Datacore - Electromagnetic Physics,84512.18,+17.0%,1221,82605.00,85067.01,194347.83,77397.75
Datacore - Electronic Engineering,269884.81,-0.0%,3014,276579.80,272432.39,281404.48,242971.14
